| Model   | Data             | Per   | Method   |      Acc |
| gaan    | pubmed           | 0.06  | degree3  | 0.9      |
| gaan    | pubmed           | 0.06  | degree4  | 0.901    |
| gaan    | pubmed           | 0.06  | pr3      | 0.899    |
| gaan    | pubmed           | 0.06  | pr4      | 0.901    |
| gaan    | pubmed           | 0.1   | random   | 0.903    |
| gaan    | pubmed           | 0.1   | degree3  | 0.9      |
| gaan    | pubmed           | 0.1   | degree4  | 0.901    |
| gaan    | pubmed           | 0.1   | pr3      | 0.897    |
| gaan    | pubmed           | 0.1   | pr4      | 0.901    |
| gaan    | pubmed           | 0.2   | random   | 0.899    |
| gaan    | pubmed           | 0.2   | degree3  | 0.896    |
| gaan    | pubmed           | 0.2   | degree4  | 0.901    |
| gaan    | pubmed           | 0.2   | pr3      | 0.894    |
| gaan    | pubmed           | 0.2   | pr4      | 0.899    |
| gaan    | pubmed           | 0.5   | random   | 0.887    |
| gaan    | pubmed           | 0.5   | degree3  | 0.89     |
| gaan    | pubmed           | 0.5   | degree4  | 0.894    |
| gaan    | pubmed           | 0.5   | pr3      | 0.886    |
| gaan    | pubmed           | 0.5   | pr4      | 0.89     |
| gaan    | amazon-computers | full  | none     | 0.891507 |
| gaan    | amazon-computers | 0.01  | random   | 0.891798 |
| gaan    | amazon-computers | 0.01  | degree3  | 0.892088 |
| gaan    | amazon-computers | 0.01  | degree4  | 0.891216 |
| gaan    | amazon-computers | 0.01  | pr3      | 0.892088 |
| gaan    | amazon-computers | 0.01  | pr4      | 0.891216 |
| gaan    | amazon-computers | 0.03  | random   | 0.892088 |
| gaan    | amazon-computers | 0.03  | degree3  | 0.889471 |
| gaan    | amazon-computers | 0.03  | degree4  | 0.890925 |
